date,place,opponent_1,opponent_2,opponent_1_estimated_punch_power,opponent_2_estimated_punch_power,opponent_1_estimated_punch_resistance,opponent_2_estimated_punch_resistance,opponent_1_estimated_ability_to_take_punch,opponent_2_estimated_ability_to_take_punch,opponent_1_rounds_boxed,opponent_2_rounds_boxed,opponent_1_round_ko_percentage,opponent_2_round_ko_percentage,opponent_1_has_been_ko_percentage,opponent_2_has_been_ko_percentage,opponent_1_avg_weight,opponent_2_avg_weight,verdict,opponent_1_name_clean,opponent_2_name_clean,opponent_1_name,opponent_1_wins,opponent_1_looses,opponent_1_draws,opponent_1_ko_rate,opponent_1_stance,opponent_1_age,opponent_1_height,opponent_1_reach,opponent_1_country,opponent_2_name,opponent_2_wins,opponent_2_looses,opponent_2_draws,opponent_2_ko_rate,opponent_2_stance,opponent_2_age,opponent_2_height,opponent_2_reach,opponent_2_country,opponent_1_verdict,opponent_2_verdict
22 November 2014,Unknown,Michael Sprott ,Anthony Joshua,57,57,62.6,57.7,77.0,67.0,357,243.0,64.9,56.25,18.75,29.7,237.0,230.73,Joshua won via TKO in round 1,michael sprott,anthony joshua,,11.0,2.0,2.0,68%,Orthodox,32,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,anthony joshua,24.0,1.0,0.0,88%,Orthodox,32.0,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,LOSS,WON
4 April 2015,Unknown,Jason Gavern ,Anthony Joshua,55,55,60.6,59.6,80.0,69.0,267,65.0,83.1,58.82,18.37,32.9,236.42,231.96,Joshua won via KO in round 3,jason gavern,anthony joshua,jason gavern,27.0,21.0,4.0,23.1%,Orthodox,45,6.17 ft (1.88 m),75.98 inches (193 cm),United States,anthony joshua,24.0,1.0,0.0,88%,Orthodox,32.0,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,LOSS,WON
30 May 2015,Unknown,Kevin Johnson ,Anthony Joshua,60,60,63.6,62.7,82.0,72.0,227,40.0,64.6,54.55,0.0,0.0,292.87,233.3,Joshua won via TKO in round 2,kevin johnson,anthony joshua,,36.0,0.0,1.0,82%,Southpaw,28,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,anthony joshua,24.0,1.0,0.0,88%,Orthodox,32.0,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,LOSS,WON
9 May 2015,Unknown,Raphael Zumbano Love ,Anthony Joshua,65,65,42.6,61.4,78.0,69.0,230,149.0,63.4,55.0,6.38,13.0,224.61,233.05,Joshua won via TKO in round 2,raphael zumbano love,anthony joshua,,39.0,1.0,2.0,56%,Southpaw,33,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,anthony joshua,24.0,1.0,0.0,88%,Orthodox,32.0,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,LOSS,WON
9 May 2015,Unknown,Saul Alvarez ,James Kirkland,72,72,57.2,57.8,83.0,78.0,310,110.0,10.0,25.45,24.3,3.03,152.59,206.32,Alvarez won via KO in round 3,saul alvarez,james kirkland,Saul Alvarez,54.0,1.0,2.0,63.2%,Orthodox,32,5.74 ft (1.75 m),70.47 inches (179 cm),Mexico,,24.0,0.0,2.0,51%,Orthodox,28.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,WON,LOSS
12 September 2015,Unknown,Gary Cornish ,Anthony Joshua,63,63,56.8,64.0,70.0,72.0,93,151.0,74.4,54.17,0.0,0.0,225.49,234.2,Joshua won via TKO in round 1,gary cornish,anthony joshua,,26.0,1.0,2.0,70%,Orthodox,37,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,anthony joshua,24.0,1.0,0.0,88%,Orthodox,32.0,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,LOSS,WON
7 November 2015,Unknown,Callum Smith ,Rocky Fielding,77,77,59.6,55.8,63.0,72.0,64,88.0,18.75,13.64,0.0,0.0,169.11,170.0,Smith won via TKO in round 1,callum smith,rocky fielding,callum smith,27.0,1.0,0.0,67.9%,Orthodox,32,6.27 ft (1.91 m),Unknown,United Kingdom,rocky fielding,28.0,2.0,0.0,53.3%,Orthodox,35.0,Unknown,Unknown,United Kingdom,WON,LOSS
26 September 2015,Unknown,Andy Ruiz Jr ,Joell Godfrey,73,73,49.8,51.5,75.0,85.0,83,178.0,20.48,77.0,37.1,6.25,251.09,209.94,Ruiz Jr won via UD in round 8,andy ruiz jr,joell godfrey,andy ruiz jr,33.0,2.0,0.0,62.9%,Orthodox,32,6.17 ft (1.88 m),74.02 inches (188 cm),Mexico,,23.0,4.0,0.0,74%,Orthodox,30.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,WON,LOSS
28 November 2015,Unknown,Tyson Fury ,Wladimir Klitschko,74,74,64.8,72.4,77.0,85.0,134,346.0,13.43,15.32,21.5,4.48,249.05,234.75,Fury won via UD in round 12,tyson fury,wladimir klitschko,tyson fury,30.0,0.0,1.0,65.6%,Orthodox,34,6.76 ft (2.06 m),85.04 inches (216 cm),United Kingdom,wladimir klitschko,64.0,5.0,0.0,76.8%,Orthodox,46.0,6.50 ft (1.98 m),81.10 inches (206 cm),Ukraine,WON,LOSS
12 December 2015,Unknown,Dillian Whyte ,Anthony Joshua,75,75,54.3,64.3,72.0,73.0,44,25.0,29.55,56.0,0.0,0.0,225.84,235.76,Joshua won via TKO in round 7,dillian whyte,anthony joshua,dillian whyte,27.0,2.0,0.0,58.1%,Orthodox,34,Unknown,Unknown,United Kingdom,anthony joshua,24.0,1.0,0.0,88%,Orthodox,32.0,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,LOSS,WON
20 August 2016,Unknown,Shakur Stevenson ,Robeisy Ramirez Carrazana,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Result,shakur stevenson,robeisy ramirez carrazana,shakur stevenson,14.0,0.0,0.0,43.8%,Southpaw,25,5.68 ft (1.73 m),68.11 inches (173 cm),United States,,20.0,2.0,2.0,60%,Orthodox,38.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,DRAW,DRAW
7 May 2016,Unknown,Amir Khan ,Saul Alvarez,70,70,65.7,58.3,78.0,84.0,203,325.0,9.36,9.85,5.88,15.8,137.97,152.66,Alvarez won via KO in round 6,amir khan,saul alvarez,amir khan,34.0,5.0,0.0,53.8%,Orthodox,35,5.71 ft (1.74 m),70.87 inches (180 cm),United Kingdom,Saul Alvarez,54.0,1.0,2.0,63.2%,Orthodox,32.0,5.74 ft (1.75 m),70.47 inches (179 cm),Mexico,LOSS,WON
23 April 2016,Unknown,Dominic Wade ,Gennady Golovkin,70,70,54.6,65.7,67.0,82.0,60,151.0,20.0,20.53,0.0,0.0,162.48,159.66,Golovkin won via KO in round 2,dominic wade,gennady golovkin,,27.0,4.0,1.0,70%,Southpaw,34,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,gennady golovkin,41.0,1.0,1.0,83.7%,Orthodox,40.0,5.87 ft (1.79 m),70.08 inches (178 cm),Kazakhstan,LOSS,WON
25 June 2016,Unknown,Anthony Joshua ,Dominic Breazeale,87,87,65.4,54.0,78.0,78.0,34,57.0,47.06,26.32,0.0,0.0,237.04,237.83,Joshua won via TKO in round 7,anthony joshua,dominic breazeale,anthony joshua,24.0,1.0,0.0,88%,Orthodox,32,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,dominic breazeale,20.0,2.0,0.0,81.8%,Orthodox,36.0,6.53 ft (1.99 m),81.10 inches (206 cm),United States,WON,LOSS
21 August 2016,Unknown,Robeisy Ramirez Carrazana ,Tony Yoka,0,0,50.0,64.2,50.0,88.4,3,120.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Result,robeisy ramirez carrazana,tony yoka,,28.0,4.0,1.0,44%,Orthodox,38,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,tony yoka,0.0,0.0,0.0,0%,Unknown,30.0,Unknown,Unknown,Unknown,DRAW,DRAW
9 April 2016,Unknown,Charles Martin ,Anthony Joshua,80,80,46.8,64.6,74.0,75.0,74,32.0,28.38,46.88,0.0,0.0,239.9,236.51,Joshua won via KO in round 2,charles martin,anthony joshua,charles martin,28.0,2.0,1.0,75%,Southpaw,36,Unknown,Unknown,United States,anthony joshua,24.0,1.0,0.0,88%,Orthodox,32.0,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,LOSS,WON
27 August 2016,Unknown,Robert Guerrero ,David Emanuel Peralta,63,63,68.3,53.4,83.0,65.0,270,116.0,6.67,12.07,11.8,3.57,130.64,141.27,Peralta won via SD in round 12,robert guerrero,david emanuel peralta,robert guerrero,36.0,6.0,1.0,44.4%,Southpaw,39,5.68 ft (1.73 m),70.08 inches (178 cm),United States,,15.0,1.0,0.0,70%,Southpaw,25.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,LOSS,WON
10 September 2016,Unknown,Kell Brook ,Gennady Golovkin,75,75,63.9,65.8,79.0,83.0,179,153.0,13.97,20.92,0.0,0.0,149.14,159.66,Golovkin won via TKO in round 5,kell brook,gennady golovkin,kell brook,39.0,3.0,0.0,64.3%,Orthodox,36,5.74 ft (1.75 m),68.90 inches (175 cm),United Kingdom,gennady golovkin,41.0,1.0,1.0,83.7%,Orthodox,40.0,5.87 ft (1.79 m),70.08 inches (178 cm),Kazakhstan,LOSS,WON
1 October 2016,Unknown,Alexander Dimitrenko ,Joseph Parker,68,68,63.2,60.7,78.0,82.0,219,84.0,10.96,20.24,2.5,9.3,238.31,245.72,Parker won via KO in round 3,alexander dimitrenko,joseph parker,,17.0,0.0,2.0,79%,Orthodox,28,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,joseph parker,27.0,2.0,0.0,72.4%,Orthodox,30.0,6.33 ft (1.93 m),75.98 inches (193 cm),New Zealand,LOSS,WON
24 September 2016,Unknown,Jorge Linares ,Anthony Crolla,71,71,61.2,58.0,76.0,76.0,244,227.0,11.07,5.73,6.98,2.63,128.77,135.02,Linares won via UD in round 12,jorge linares,anthony crolla,jorge linares,46.0,5.0,0.0,56.9%,Orthodox,37,5.71 ft (1.74 m),69.29 inches (176 cm),"Venezuela, Bolivarian Republic of",anthony crolla,35.0,7.0,3.0,28.9%,Orthodox,35.0,5.71 ft (1.74 m),66.93 inches (170 cm),United Kingdom,WON,LOSS
15 October 2016,Unknown,Bj Flores ,Tony Bellew,67,67,59.4,65.4,82.0,83.0,178,197.0,11.24,8.63,9.8,3.33,206.07,182.99,Bellew won via TKO in round 3,bj flores,tony bellew,bj flores,32.0,4.0,1.0,54.1%,Orthodox,43,6.17 ft (1.88 m),79.92 inches (203 cm),United States,tony bellew,30.0,3.0,1.0,58.8%,Orthodox,39.0,6.27 ft (1.91 m),74.02 inches (188 cm),United Kingdom,LOSS,WON
17 September 2016,Unknown,Saul Alvarez ,Liam Smith,72,72,58.6,55.3,84.0,68.0,331,126.0,9.97,10.32,0.0,0.0,152.71,154.61,Alvarez won via KO in round 9,saul alvarez,liam smith,Saul Alvarez,54.0,1.0,2.0,63.2%,Orthodox,32,5.74 ft (1.75 m),70.47 inches (179 cm),Mexico,liam smith,29.0,2.0,1.0,50%,Orthodox,34.0,5.77 ft (1.76 m),Unknown,United Kingdom,WON,LOSS
19 November 2016,Unknown,Sergey Kovalev ,Andre Ward,81,81,57.8,63.0,77.0,81.0,114,218.0,22.81,6.88,0.0,0.0,175.0,166.41,Ward won via UD in round 12,sergey kovalev,andre ward,sergey kovalev,34.0,4.0,1.0,72.5%,Orthodox,39,6.00 ft (1.83 m),72.44 inches (184 cm),Russian Federation,andre ward,32.0,0.0,0.0,50%,Orthodox,38.0,6.00 ft (1.83 m),70.87 inches (180 cm),United States,LOSS,WON
10 December 2016,Unknown,Eric Molina ,Anthony Joshua,68,68,56.8,66.2,78.0,80.0,119,41.0,15.97,41.46,10.71,10.4,228.09,237.04,Joshua won via TKO in round 3,eric molina,anthony joshua,eric molina,27.0,6.0,0.0,57.6%,Orthodox,40,6.33 ft (1.93 m),77.95 inches (198 cm),United States,anthony joshua,24.0,1.0,0.0,88%,Orthodox,32.0,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,LOSS,WON
10 December 2016,Unknown,Andy Ruiz Jr ,Joseph Parker,72,72,54.3,61.5,78.0,82.0,116,87.0,16.38,20.69,0.0,0.0,248.4,246.11,Parker won via MD in round 12,andy ruiz jr,joseph parker,andy ruiz jr,33.0,2.0,0.0,62.9%,Orthodox,32,6.17 ft (1.88 m),74.02 inches (188 cm),Mexico,joseph parker,27.0,2.0,0.0,72.4%,Orthodox,30.0,6.33 ft (1.93 m),75.98 inches (193 cm),New Zealand,LOSS,WON
1 October 2016,Unknown,Juergen Braehmer ,Nathan Cleverly,74,74,65.6,59.9,78.0,77.0,281,205.0,12.1,7.32,21.3,3.13,170.75,173.79,Cleverly won via RTD in round 6,juergen braehmer,nathan cleverly,juergen braehmer,50.0,3.0,0.0,67.9%,Southpaw,43,5.94 ft (1.81 m),71.26 inches (181 cm),Germany,,24.0,4.0,2.0,44%,Southpaw,34.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,LOSS,WON
25 February 2017,Unknown,Deontay Wilder ,Gerald Washington,89,89,60.9,57.7,80.0,74.0,107,78.0,33.64,15.38,0.0,0.0,242.79,247.53,Wilder won via TKO in round 5,deontay wilder,gerald washington,deontay wilder,42.0,1.0,1.0,93.2%,Orthodox,36,6.56 ft (2.00 m),83.07 inches (211 cm),United States,gerald washington,20.0,4.0,1.0,52%,Orthodox,40.0,6.50 ft (1.98 m),81.89 inches (208 cm),United States,WON,LOSS
8 April 2017,Unknown,Daniel Dubois ,Marcus Kelly,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dubois won via TKO in round 1,daniel dubois,marcus kelly,daniel dubois,15.0,1.0,0.0,87.5%,Orthodox,25,6.36 ft (1.94 m),Unknown,United Kingdom,,13.0,4.0,0.0,53%,Southpaw,27.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,WON,LOSS
22 April 2017,Unknown,Daniel Dubois ,Blaise Mendouo,53,53,88.2,58.1,50.0,60.9,1,95.0,100.0,86.1,0.0,0.0,244.5,60.5,Dubois won via TKO in round 2,daniel dubois,blaise mendouo,daniel dubois,15.0,1.0,0.0,87.5%,Orthodox,25,6.36 ft (1.94 m),Unknown,United Kingdom,,30.0,4.0,0.0,78%,Orthodox,36.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,WON,LOSS
22 April 2017,Unknown,Tyrone Nurse ,Joe Hughes,50,50,53.8,48.4,67.0,53.0,226,116.0,3.1,5.17,0.0,0.0,142.21,141.99,Draw - 12 round SD decision,tyrone nurse,joe hughes,,27.0,0.0,0.0,52%,Southpaw,25,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,,27.0,2.0,0.0,40%,Southpaw,32.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,DRAW,DRAW
20 May 2017,Unknown,David Howe ,Daniel Dubois,56,56,47.9,61.4,42.0,53.0,44,176.0,57.3,75.0,31.25,39.6,225.11,233.25,Dubois won via KO in round 1,david howe,daniel dubois,,34.0,3.0,0.0,69%,Southpaw,38,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,daniel dubois,15.0,1.0,0.0,87.5%,Orthodox,25.0,6.36 ft (1.94 m),Unknown,United Kingdom,LOSS,WON
29 April 2017,Unknown,Wladimir Klitschko ,Anthony Joshua,77,77,72.5,66.9,85.0,81.0,358,124.0,14.8,40.91,4.41,13.0,234.93,237.06,Joshua won via TKO in round 11,wladimir klitschko,anthony joshua,wladimir klitschko,64.0,5.0,0.0,76.8%,Orthodox,46,6.50 ft (1.98 m),81.10 inches (206 cm),Ukraine,anthony joshua,24.0,1.0,0.0,88%,Orthodox,32.0,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,LOSS,WON
16 September 2017,Unknown,Aj Carter ,Daniel Dubois,68,68,39.7,27.8,45.0,60.0,18,7.0,22.22,71.43,14.29,39.6,216.79,230.38,Dubois won via TKO in round 1,aj carter,daniel dubois,,22.0,3.0,0.0,57%,Southpaw,30,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,daniel dubois,15.0,1.0,0.0,87.5%,Orthodox,25.0,6.36 ft (1.94 m),Unknown,United Kingdom,LOSS,WON
8 July 2017,Unknown,Mauricio Barragan ,Daniel Dubois,64,64,45.1,21.8,55.0,56.0,51,191.0,55.3,80.0,6.25,33.6,179.44,240.83,Dubois won via KO in round 2,mauricio barragan,daniel dubois,,22.0,1.0,0.0,62%,Orthodox,36,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,daniel dubois,15.0,1.0,0.0,87.5%,Orthodox,25.0,6.36 ft (1.94 m),Unknown,United Kingdom,LOSS,WON
26 August 2017,Unknown,Floyd Mayweather Jr ,Conor Mcgregor,67,67,69.0,80.1,86.0,84.6,387,97.0,6.72,73.5,0.0,0.0,136.76,91.6,Mayweather Jr won via TKO in round 10,floyd mayweather jr,conor mcgregor,floyd mayweather jr,50.0,0.0,0.0,52.9%,Orthodox,45,5.68 ft (1.73 m),72.05 inches (183 cm),United States,,21.0,3.0,0.0,52%,Orthodox,34.0,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,WON,LOSS
28 October 2017,Unknown,Carlos Takam ,Anthony Joshua,71,71,58.6,67.9,79.0,82.0,184,55.0,14.67,34.55,2.56,10.7,236.71,237.26,Joshua won via TKO in round 10,carlos takam,anthony joshua,carlos takam,38.0,5.0,1.0,63.6%,Orthodox,41,6.20 ft (1.89 m),Unknown,Cameroon,anthony joshua,24.0,1.0,0.0,88%,Orthodox,32.0,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,LOSS,WON
23 September 2017,Unknown,Jorge Linares ,Luke Campbell,70,70,61.9,58.6,76.0,69.0,268,96.0,10.07,14.58,6.67,22.3,128.77,135.31,Linares won via SD in round 12,jorge linares,luke campbell,jorge linares,46.0,5.0,0.0,56.9%,Orthodox,37,5.71 ft (1.74 m),69.29 inches (176 cm),"Venezuela, Bolivarian Republic of",luke campbell,20.0,3.0,0.0,66.7%,Southpaw,34.0,5.74 ft (1.75 m),70.87 inches (180 cm),United Kingdom,WON,LOSS
16 September 2017,Unknown,Saul Alvarez ,Gennady Golovkin,72,72,59.2,66.5,84.0,84.0,352,170.0,9.66,19.41,0.0,0.0,152.97,159.65,Draw - 12 round SD decision,saul alvarez,gennady golovkin,Saul Alvarez,54.0,1.0,2.0,63.2%,Orthodox,32,5.74 ft (1.75 m),70.47 inches (179 cm),Mexico,gennady golovkin,41.0,1.0,1.0,83.7%,Orthodox,40.0,5.87 ft (1.79 m),70.08 inches (178 cm),Kazakhstan,DRAW,DRAW
9 December 2017,Unknown,Dorian Darch ,Daniel Dubois,49,49,52.4,29.7,43.0,60.0,39,170.0,87.1,75.0,18.18,34.9,236.59,230.38,Dubois won via TKO in round 2,dorian darch,daniel dubois,,12.0,0.0,0.0,40%,Orthodox,34,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,daniel dubois,15.0,1.0,0.0,87.5%,Orthodox,25.0,6.36 ft (1.94 m),Unknown,United Kingdom,LOSS,WON
4 November 2017,Unknown,Adrian Granados ,Shawn Porter,61,61,52.7,62.4,78.0,80.0,145,183.0,8.28,9.29,0.0,0.0,141.39,152.53,Porter won via UD in round 12,adrian granados,shawn porter,adrian granados,20.0,8.0,2.0,45.2%,Orthodox,33,5.74 ft (1.75 m),74.02 inches (188 cm),Mexico,shawn porter,30.0,3.0,1.0,48.6%,Orthodox,34.0,5.58 ft (1.70 m),69.69 inches (177 cm),United States,LOSS,WON
18 November 2017,Unknown,Horacio Garcia ,Carl Frampton,66,66,48.2,60.3,74.0,77.0,195,152.0,12.31,9.21,0.0,0.0,122.48,121.85,Frampton won via UD in round 10,horacio garcia,carl frampton,,11.0,2.0,2.0,50%,Southpaw,32,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,carl frampton,27.0,2.0,0.0,50%,Orthodox,35.0,5.41 ft (1.65 m),61.81 inches (157 cm),United Kingdom,LOSS,WON
30 December 2017,Unknown,Yoan Boyeaux ,Naoya Inoue,65,65,47.8,62.4,77.0,72.0,162,88.0,12.35,13.64,0.0,0.0,119.97,109.2,Inoue won via TKO in round 3,yoan boyeaux,naoya inoue,,36.0,1.0,2.0,68%,Southpaw,27,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,naoya inoue,20.0,0.0,0.0,85%,Orthodox,29.0,5.35 ft (1.63 m),66.93 inches (170 cm),Japan,LOSS,WON
20 January 2018,Unknown,Lamont Peterson ,Errol Spence Jr,62,62,59.4,59.9,79.0,76.0,276,88.0,84.1,21.59,2.56,14.4,173.24,148.71,Spence Jr won via RTD in round 7,lamont peterson,errol spence jr,lamont peterson,35.0,5.0,1.0,41.5%,Orthodox,38,5.74 ft (1.75 m),72.05 inches (183 cm),United States,errol spence jr,26.0,0.0,0.0,77.8%,Orthodox,32.0,5.84 ft (1.78 m),72.05 inches (183 cm),United States,LOSS,WON
21 April 2018,Unknown,Nonito Donaire ,Carl Frampton,71,71,63.9,60.8,81.0,77.0,255,162.0,9.41,8.64,2.38,38.5,157.87,121.85,Frampton won via UD in round 12,nonito donaire,carl frampton,nonito donaire,40.0,6.0,0.0,54.2%,Orthodox,39,5.45 ft (1.66 m),68.11 inches (173 cm),Philippines,carl frampton,27.0,2.0,0.0,50%,Orthodox,35.0,5.41 ft (1.65 m),61.81 inches (157 cm),United Kingdom,LOSS,WON
31 March 2018,Unknown,David Price ,Alexander Povetkin,74,74,64.8,72.4,71.0,81.0,77,219.0,22.08,10.5,16.67,30.2,246.75,235.57,Povetkin won via KO in round 5,david price,alexander povetkin,david price,23.0,7.0,0.0,63.3%,Orthodox,39,6.66 ft (2.03 m),81.89 inches (208 cm),United Kingdom,alexander povetkin,36.0,2.0,1.0,62.5%,Orthodox,42.0,6.17 ft (1.88 m),75.20 inches (191 cm),Russian Federation,LOSS,WON
3 March 2018,Unknown,Luis Ortiz ,Deontay Wilder,75,75,63.9,61.9,79.0,81.0,122,113.0,19.67,33.63,0.0,0.0,237.75,243.1,Wilder won via TKO in round 10,luis ortiz,deontay wilder,luis ortiz,31.0,2.0,0.0,72.2%,Orthodox,43,6.33 ft (1.93 m),83.86 inches (213 cm),Cuba,deontay wilder,42.0,1.0,1.0,93.2%,Orthodox,36.0,6.56 ft (2.00 m),83.07 inches (211 cm),United States,LOSS,WON
31 March 2018,Unknown,Joseph Parker ,Anthony Joshua,78,78,63.0,68.6,82.0,82.0,123,65.0,14.63,30.77,0.0,0.0,247.77,237.26,Joshua won via UD in round 12,joseph parker,anthony joshua,joseph parker,27.0,2.0,0.0,72.4%,Orthodox,30,6.33 ft (1.93 m),75.98 inches (193 cm),New Zealand,anthony joshua,24.0,1.0,0.0,88%,Orthodox,32.0,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom,LOSS,WON
5 May 2018,Unknown,Troy James ,Luke Campbell,54,54,54.5,59.6,58.0,71.0,109,108.0,4.59,12.96,4.76,27.1,132.74,135.24,Campbell won via TKO in round 5,troy james,luke campbell,,21.0,2.0,0.0,61%,Orthodox,26,5.9 ft (1.75 m),115.5 inches (293 cm),Unknown,luke campbell,20.0,3.0,0.0,66.7%,Southpaw,34.0,5.74 ft (1.75 m),70.87 inches (180 cm),United Kingdom,LOSS,WON
5 May 2018,Unknown,Vanes Martirosyan ,Gennady Golovkin,67,67,62.9,67.0,79.0,84.0,224,182.0,9.38,18.13,0.0,0.0,164.37,159.66,Golovkin won via KO in round 2,vanes martirosyan,gennady golovkin,vanes martirosyan,36.0,4.0,1.0,51.2%,Orthodox,36,6.00 ft (1.83 m),72.83 inches (185 cm),United States,gennady golovkin,41.0,1.0,1.0,83.7%,Orthodox,40.0,5.87 ft (1.79 m),70.08 inches (178 cm),Kazakhstan,LOSS,WON
12 May 2018,Unknown,Jorge Linares ,Vasyl Lomachenko,69,69,62.5,73.4,77.0,78.0,292,93.0,9.25,8.6,6.38,8.1,128.89,127.11,Lomachenko won via TKO in round 10,jorge linares,vasyl lomachenko,jorge linares,46.0,5.0,0.0,56.9%,Orthodox,37,5.71 ft (1.74 m),69.29 inches (176 cm),"Venezuela, Bolivarian Republic of",vasyl lomachenko,14.0,2.0,0.0,62.5%,Southpaw,34.0,5.51 ft (1.68 m),65.35 inches (166 cm),Ukraine,LOSS,WON
